lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model
-0.04026944,-2.362534372,-1.028162281,-0.393796175,-1.800710404,0.829379862,3.830981584,1.707423435,0,full
-0.07632304,-2.972138663,-1.634542448,-3.934123309,-11.68941975,1.851010718,6.213929304,1.951841832,0,full
-0.072895305,-2.872377738,-1.493773352,-1.689625859,-5.488894418,1.471965902,4.934657084,1.999561485,0,full
-0.075538565,-2.765401697,-1.3676017,-0.936104664,-3.093543797,1.168394428,4.310213777,2.062996015,0,full
-0.079990002,-2.680635198,-1.268604196,-0.58993955,-2.667629161,1.093952483,4.17133697,2.168223453,0,full
-0.00164926,-1.879876702,-0.763702243,-0.113963575,0.100189555,0.223585584,2.849083211,1.625988121,0,full
-3.53E-06,-1.960061482,-0.8124875,-0.50152835,-0.344549892,0.516722421,3.194043934,1.707410178,0,full
-0.000298395,-1.942980512,-0.784754464,-0.488105935,-0.203847586,0.424625579,3.084074831,1.706756086,0,full
-0.00031025,-1.920600619,-0.753360361,-0.42334274,-0.101604434,0.348315432,2.995430229,1.679751374,0,full
-0.016448509,-2.19374664,-1.027981822,-0.674077147,-2.191182701,1.144907027,4.058339606,1.474580027,0,full
-0.000310246,-2.183462914,-0.992722306,-0.822333245,-3.324501621,1.311305995,4.3867289,1.36092803,0,full
-0.000310244,-2.18448539,-0.977310487,-0.878823733,-5.005214133,1.480482281,4.806404221,1.34116511,0,full
-0.000310249,-2.182813736,-0.965739525,-0.887351788,-2.571841445,1.198123795,4.171922388,1.329556378,0,full
-0.047347975,-2.430334894,-1.208099427,-1.045682236,-2.15332801,1.117173018,4.031388777,1.47782619,0,full
-0.031053428,-2.402537294,-1.165061844,-1.123400555,-4.549023836,1.433504872,4.692597281,1.430258769,0,full
-0.026045835,-2.423168245,-1.161911026,-1.324317971,-5.557071849,1.515951288,4.933293474,1.431062421,0,full
-0.01564546,-2.392692687,-1.118523659,-1.1588071,-3.120216628,1.264761477,4.321919744,1.432710623,0,full
-0.052331011,-2.689873745,-1.403256357,-1.430794945,-14.56501566,1.986409839,6.654207207,1.631399943,0,full
-0.047332785,-2.659046844,-1.36297478,-1.546190916,-3.333256769,1.302886112,4.378355648,1.631987104,0,full
-0.04733223,-2.661306631,-1.346892061,-1.68316361,-1.577346371,0.996188478,3.824128678,1.644287448,0,full
-0.047340634,-2.663290351,-1.31083309,-1.739358803,-3.920924246,1.387084497,4.526729955,1.645527275,0,full
-0.076040241,-3.022249785,-1.634481817,-2.362899149,-3.97148653,1.362645701,4.544443145,1.917413948,0,full
-0.067251865,-2.976565331,-1.540239126,-2.455005368,-9.205434967,1.76847546,5.668383544,1.940560034,0,full
-0.071581207,-2.992388296,-1.581798733,-3.491253477,-4.64810607,1.493819075,4.685259367,1.974388235,0,full
-0.07558776,-2.967780072,-1.541431473,-2.524602438,-3.382265727,1.299711094,4.392236742,1.999459702,0,full
-0.00144127,-1.941691242,-0.839276214,-0.94138623,-5.67914664,1.484006983,5.012772337,1.698396952,0,full
-0.000712958,-1.740758804,-0.669726831,-0.62354926,-3.142523973,1.149183728,4.356078489,1.6740743,0,full
-0.000286486,-1.652687636,-0.526886742,-0.392994487,-5.754667397,1.338643223,5.210083969,1.768349152,0,full
-3.79E-05,-1.560332954,-0.422740529,-0.266904275,-3.139099798,0.969460577,4.429786381,1.860971735,0,full
-0.002115587,-1.876893605,-0.760806526,-0.107278219,0.103618219,0.220892895,2.84587164,1.625657055,0,full
-0.000697786,-1.822786558,-0.716065894,-0.132871383,0.236607547,-0.120701165,2.506029537,1.658607279,0,full
-0.000310223,-1.657689161,-0.553007583,0.240925852,0.303140844,-0.288713095,2.345918451,1.710034249,0,full
-0.000310225,-1.556896704,-0.416958322,0.398659742,0.319273252,-0.46944877,2.177539128,1.781630801,0,full
-5.39E-05,-1.951439011,-0.846443593,-1.114075062,-4.094077541,1.33915956,4.611577522,1.705882579,0,full
-0.000143071,-1.958715726,-0.830984965,-1.351582724,-4.113780402,1.302815599,4.627216713,1.735074159,0,full
-0.000310233,-1.969491138,-0.822710668,-1.432084712,-3.357419431,1.212749245,4.408853866,1.73303297,0,full
-0.000309199,-1.942623354,-0.788086355,-1.33523666,-5.970959304,1.474657002,5.109024831,1.703002048,0,full
-0.00031025,-1.872823028,-0.755553873,-0.224009173,-0.242355151,0.538067354,3.194443729,1.632811876,0,full
-0.00031025,-1.954909969,-0.806745902,-0.6812983,-3.879444123,1.343872603,4.535147367,1.718298574,0,full
-0.000310244,-1.938118808,-0.775848062,-0.651004011,-1.644995317,0.986441488,3.848264657,1.718945642,0,full
-0.00025656,-1.920841719,-0.749717708,-0.598385354,-1.151175836,0.858218879,3.647283224,1.692601195,0,full
-0.00030729,-1.956583716,-0.854017407,-0.981120477,-3.252118045,1.239852584,4.378851339,1.695618732,0,full
-0.000306141,-1.972973566,-0.845780374,-1.217448353,-4.176367935,1.308229492,4.645446851,1.72132217,0,full
-0.000302805,-1.980147516,-0.834510023,-1.274083442,-2.975490782,1.158803201,4.292513453,1.719425326,0,full
-0.000310242,-1.897338993,-0.75148919,-1.016630432,-4.64115584,1.360159784,4.771292574,1.690663122,0,full
-0.002115099,-1.874486637,-0.765256535,-0.116256635,0.131051814,0.17706056,2.801640216,1.627197095,0,full
-0.000310239,-1.95748184,-0.812825649,-0.501511275,-0.300898584,0.489185846,3.160951892,1.706654399,0,full
-6.73E-05,-1.9515078,-0.78864536,-0.504528378,-0.30189576,0.49032771,3.162102749,1.707107144,0,full
-2.11E-06,-1.92366989,-0.756162913,-0.434863209,-0.11832501,0.361633946,3.010673733,1.680721969,0,full
