lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,bias,xc,phi,epsilon
0,-1.921123188,-0.752593741,-0.42102613,-0.10902459,0.355042311,3.002942618,1.68031796,0,reduced,full,0.5,3,0
0,-2.223341191,-1.054006556,-0.831830692,-7.725407667,1.694532096,5.378824579,1.515577988,0,reduced,full,0.5,0,0.25
0,-2.191480853,-0.996003019,-0.858754242,-8.769325184,1.751305579,5.587179097,1.359412236,0,reduced,full,0.5,1,0.25
0,-2.187897345,-0.977823145,-0.896754717,-12.57011291,1.892038396,6.370259487,1.341461385,0,reduced,full,0.5,2,0.25
0,-2.18377054,-0.966600179,-0.90075831,-5.72075556,1.557358204,4.958335258,1.328832468,0,reduced,full,0.5,3,0.25
0,-2.451478307,-1.213228842,-1.247793865,-6.8340632,1.601635096,5.232397448,1.673036823,0,reduced,full,0.5,0,0.5
0,-2.432159878,-1.172412936,-1.279989868,-8.532715617,1.691764067,5.610972978,1.46617916,0,reduced,full,0.5,1,0.5
0,-2.427202308,-1.158845239,-1.326600726,-6.979239801,1.600122584,5.274620362,1.457722361,0,reduced,full,0.5,2,0.5
0,-2.426204984,-1.147950527,-1.418598056,-15.46640849,1.993656255,6.889527207,1.458571627,0,reduced,full,0.5,3,0.5
0,-2.692858884,-1.410913568,-1.527205054,-8.566032461,1.691279397,5.622932551,1.940002166,0,reduced,full,0.5,0,0.75
0,-2.675246162,-1.352585572,-1.613093624,-29.584062,2.288675818,9.474352481,1.864079124,0,reduced,full,0.5,1,0.75
0,-2.674850643,-1.331972839,-1.724237021,-9.252750414,1.716947087,5.782215997,1.885117022,0,reduced,full,0.5,2,0.75
0,-2.67104294,-1.315731349,-1.750265346,-15.36048958,1.981897162,6.902492662,1.894915107,0,reduced,full,0.5,3,0.75
0,-3.018949082,-1.615106668,-2.043589425,-24.42597292,2.205762576,8.508072641,2.482529234,0,reduced,full,0.5,0,1
0,-2.978380696,-1.550312648,-2.327303759,-8.959864918,1.697544074,5.726379416,2.465722358,0,reduced,full,0.5,1,1
0,-2.990795001,-1.539045609,-3.004454726,-16.351292,1.970486362,7.252619652,2.493154385,0,reduced,full,0.5,2,1
0,-3.004445101,-1.532133655,-3.87751809,-13.85203811,1.872777467,6.827329701,2.52386511,0,reduced,stages,0.5,3,1
0,-1.879313043,-0.770157774,-0.128060756,0.115762721,0.197329438,2.822660874,1.627339658,0,reduced,stages,0.5,0,0
0,-1.959410034,-0.816160625,-0.513177624,-0.311889982,0.495127433,3.168430671,1.706865495,0,reduced,stages,0.5,1,0
