lA,BN,BA,c,m,s,P0,fit,con,model,epsilon,frac,meas.late
0,-2.296393529,-1.25346867,-11.54399299,3.091017788,0.935081273,4.002607139,1.414126818,0,reduced,0.25,0.7,NA
0,-2.578805596,-1.367085163,-15.13631633,1.106184192,-0.133059907,2.760656116,4.141342915,0,reduced,0.5,0.7,NA
0,-2.793718118,-1.507635323,-813.9515683,0.868775659,-0.639975872,2.34980302,7.2648527,0,reduced,0.75,0.7,NA
0,-3.326498481,-1.890042606,-23.54273625,0.781390023,-0.977090545,2.135796958,10.37915583,0,reduced,1,0.7,NA
0,-1.88275096,-0.766463431,-0.120385991,0.100085196,0.220468728,2.84652119,1.626408551,0,reduced,0,0.8,NA
0,-2.334417883,-1.273785317,-11.72891933,1.603599345,0.463782893,3.277463148,1.552870721,0,reduced,0.25,0.8,NA
0,-2.595152415,-1.38349221,-14.62714803,1.330777915,-0.006490153,3.014224629,4.777117954,0,reduced,0.5,0.8,NA
0,-2.79836565,-1.507996935,-17.092057,0.859753332,-0.722143515,2.327928688,8.22689015,0,reduced,0.75,0.8,NA
0,-3.369615845,-2.008186609,-12.39476256,0.77883436,-1.041719295,2.140624665,11.64703248,0,reduced,1,0.8,NA
0,-1.881060213,-0.769145083,-0.125854681,0.112602786,0.202159968,2.827645112,1.626956305,0,reduced,0,0.9,NA
0,-2.346649293,-1.277484551,-9.784186567,1.639160008,0.379675603,3.259616119,1.799581496,0,reduced,0.25,0.9,NA
0,-2.602173086,-1.406612753,-9.827066601,1.285865416,-0.091947602,2.970965251,5.415754363,0,reduced,0.5,0.9,NA
0,-2.930966344,-1.772322757,-24.30087165,0.824453582,-0.852528811,2.244461731,9.190280018,0,reduced,0.75,0.9,NA
0,-3.422878654,-2.048950491,-11.90166326,0.796307406,-1.02149566,2.224172475,12.92546217,0,reduced,1,0.9,NA
