lA,BN,BA,c,m,s,P0,fit,con,model,epsilon,frac,meas.late
-0.001859691,-1.875478421,-0.759255201,-0.107240566,0.064371532,0.272446781,2.899663047,1.62752431,0,full,0,0.8,NA
-1.25E-09,-2.336778857,-1.272838421,-9.153372407,1.712492879,0.508649329,3.345688268,1.553488686,0,full,0.25,0.8,NA
-0.278306731,-2.291361771,-1.662881453,-5.620652373,0.760908399,-0.805878828,2.067503558,3.666004142,0,full,0.5,0.8,NA
-0.452441538,-2.472450639,-1.944274577,-7.29375231,0.749440939,-1.090273332,1.961233793,5.79213232,0,full,0.75,0.8,NA
-0.707258219,-2.680298512,-2.128308628,-3.688230837,0.811136168,-1.274157845,1.970164542,8.301047029,0,full,1,0.8,NA
-0.002092946,-1.876973282,-0.760848387,-0.108034556,0.093912312,0.233507047,2.859198226,1.626133538,0,full,0,0.9,NA
-0.003014444,-2.340695874,-1.282753547,-9.481908832,1.469076206,0.302117053,3.138400109,1.796393187,0,full,0.25,0.9,NA
-0.308257119,-2.34493719,-1.685918753,-12.41394871,0.758564193,-0.874898585,2.042536051,4.060202347,0,full,0.5,0.9,NA
-0.523375721,-2.549987765,-1.969950093,-7.702607847,0.774673116,-1.142470091,1.97345027,6.520286062,0,full,0.75,0.9,NA
-1.195829426,-2.417912666,-0.299436576,0.335432123,0.643883282,-1.953231699,1.737457921,9.098508306,0,full,1,0.9,NA
